CustomerKey;First Name;Middle Name;Last Name;Full Name;Gender;AddressLine1;AddressLine2;Phone;DateFirstPurchase;Customer City
11000;Jon;V;Yang;Jon V Yang;Male;3761 N. 14th St;;1 (11) 500 555-0162;2020-01-19;Rockhampton
11001;Eugene;L;Huang;Eugene L Huang;Male;2243 W St.;;1 (11) 500 555-0110;2020-01-15;Seaford
11002;Ruben;;Torres;Ruben Torres;Male;5844 Linden Land;;1 (11) 500 555-0184;2020-01-07;Hobart
11003;Christy;;Zhu;Christy Zhu;Female;1825 Village Pl.;;1 (11) 500 555-0162;2019-12-29;North Ryde
11004;Elizabeth;;Johnson;Elizabeth Johnson;Female;7553 Harness Circle;;1 (11) 500 555-0131;2020-01-23;Wollongong
11005;Julio;;Ruiz;Julio Ruiz;Male;7305 Humphrey Drive;;1 (11) 500 555-0151;2019-12-30;East Brisbane
11006;Janet;G;Alvarez;Janet G Alvarez;Female;2612 Berry Dr;;1 (11) 500 555-0184;2020-01-24;Matraville
11007;Marco;;Mehta;Marco Mehta;Male;942 Brook Street;;1 (11) 500 555-0126;2020-01-09;Warrnambool
11008;Rob;;Verhoff;Rob Verhoff;Female;624 Peabody Road;;1 (11) 500 555-0164;2020-01-25;Bendigo
11009;Shannon;C;Carlson;Shannon C Carlson;Male;3839 Northgate Road;;1 (11) 500 555-0110;2020-01-27;Hervey Bay
11010;Jacquelyn;C;Suarez;Jacquelyn C Suarez;Female;7800 Corrinne Court;;1 (11) 500 555-0169;2020-01-14;East Brisbane
11011;Curtis;;Lu;Curtis Lu;Male;1224 Shoenic;;1 (11) 500 555-0117;2019-12-30;East Brisbane
11012;Lauren;M;Walker;Lauren M Walker;Female;4785 Scott Street;;717-555-0164;2022-03-16;Bremerton
11013;Ian;M;Jenkins;Ian M Jenkins;Male;7902 Hudson Ave.;;817-555-0185;2022-04-13;Lebanon
11014;Sydney;;Bennett;Sydney Bennett;Female;9011 Tank Drive;;431-555-0156;2022-03-23;Redmond
11015;Chloe;;Young;Chloe Young;Female;244 Willow Pass Road;;208-555-0142;2022-01-18;Burbank
11016;Wyatt;L;Hill;Wyatt L Hill;Male;9666 Northridge Ct.;;135-555-0171;2022-02-09;Imperial Beach
11017;Shannon;;Wang;Shannon Wang;Female;7330 Saddlehill Lane;;1 (11) 500 555-0195;2020-01-12;Sunbury
11018;Clarence;D;Rai;Clarence D Rai;Male;244 Rivewview;;1 (11) 500 555-0137;2020-01-17;Bendigo
11019;Luke;L;Lal;Luke L Lal;Male;7832 Landing Dr;;262-555-0112;2022-02-12;Langley
11020;Jordan;C;King;Jordan C King;Male;7156 Rose Dr.;;550-555-0163;2021-12-29;Metchosin
11021;Destiny;;Wilson;Destiny Wilson;Female;8148 W. Lake Dr.;;622-555-0158;2022-01-23;Beaverton
11022;Ethan;G;Zhang;Ethan G Zhang;Male;1769 Nicholas Drive;;589-555-0185;2022-01-20;Bellingham
11023;Seth;M;Edwards;Seth M Edwards;Male;4499 Valley Crest;;452-555-0188;2022-02-17;Bellflower
11024;Russell;;Xie;Russell Xie;Male;8734 Oxford Place;;746-555-0186;2022-06-27;Concord
11025;Alejandro;;Beck;Alejandro Beck;Male;2596 Franklin Canyon Road;;1 (11) 500 555-0178;2020-01-06;Hawthorne
11026;Harold;;Sai;Harold Sai;Male;8211 Leeds Ct.;;1 (11) 500 555-0131;2020-01-23;Goulburn
11027;Jessie;R;Zhao;Jessie R Zhao;Male;213 Valencia Place;;1 (11) 500 555-0184;2020-01-16;Warrnambool
11028;Jill;;Jimenez;Jill Jimenez;Female;9111 Rose Ann Ave;;1 (11) 500 555-0116;2020-01-26;St. Leonards
11029;Jimmy;L;Moreno;Jimmy L Moreno;Male;6385 Mark Twain;;1 (11) 500 555-0146;2020-01-19;Bendigo
11030;Bethany;G;Yuan;Bethany G Yuan;Female;636 Vine Hill Way;;1 (11) 500 555-0182;2020-02-05;Cloverdale
11031;Theresa;G;Ramos;Theresa G Ramos;Female;6465 Detroit Ave.;;1 (11) 500 555-0195;2020-02-01;Matraville
11032;Denise;;Stone;Denise Stone;Female;626 Bentley Street;;1 (11) 500 555-0169;2020-02-18;Melbourne
11033;Jaime;;Nath;Jaime Nath;Male;5927 Rainbow Dr;;1 (11) 500 555-0137;2020-02-15;Milsons Point
11034;Ebony;;Gonzalez;Ebony Gonzalez;Female;5167 Condor Place;;1 (11) 500 555-0136;2020-02-01;North Sydney
11035;Wendy;;Dominguez;Wendy Dominguez;Female;1873 Mt. Whitney Dr;;1 (11) 500 555-0177;2020-02-06;Cranbourne
11036;Jennifer;C;Russell;Jennifer C Russell;Female;3981 Augustine Drive;;115-555-0183;2022-01-22;National City
11037;Chloe;M;Garcia;Chloe M Garcia;Female;8915 Woodside Way;;229-555-0112;2022-01-20;Cliffside
11038;Diana;F;Hernandez;Diana F Hernandez;Female;8357 Sandy Cove Lane;;1 (11) 500 555-0114;2020-02-07;Lavender Bay
11039;Marc;J;Martin;Marc J Martin;Male;9353 Creekside Dr.;;1 (11) 500 555-0183;2020-02-07;Wollongong
11040;Jesse;;Murphy;Jesse Murphy;Male;3350 Kingswood Circle;;961-555-0176;2022-04-03;Tacoma
11041;Amanda;M;Carter;Amanda M Carter;Female;5826 Escobar;;295-555-0145;2022-01-14;Glendale
11042;Megan;J;Sanchez;Megan J Sanchez;Female;1397 Paraiso Ct.;;404-555-0199;2022-01-21;Los Angeles
